Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
501425,BBTC,BOMBAY BURMAH TRADING CORP.LTD.,11 Jul 2008,Dividend - Rs. - 3.0000,-,15 Jul 2008,30 Jul 2008,08 Jul 2008,14 Jul 2008,-
501425,BBTC,BOMBAY BURMAH TRADING CORP.LTD.,10 Jul 2009,Dividend - Rs. - 1.0000,-,14 Jul 2009,28 Jul 2009,10 Jul 2009,13 Jul 2009,-
501425,BBTC,BOMBAY BURMAH TRADING CORP.LTD.,23 Jul 2010,Dividend - Rs. - 3.5000,-,27 Jul 2010,10 Aug 2010,20 Jul 2010,26 Jul 2010,-
501425,BBTC,BOMBAY BURMAH TRADING CORP.LTD.,21 Jul 2011,Dividend - Rs. - 7.0000,-,23 Jul 2011,05 Aug 2011,18 Jul 2011,21 Jul 2011,-
501425,BBTC,BOMBAY BURMAH TRADING CORP.LTD.,26 Jul 2012,Dividend - Rs. - 7.0000,-,28 Jul 2012,08 Aug 2012,23 Jul 2012,26 Jul 2012,-
501425,BBTC,BOMBAY BURMAH TRADING CORP.LTD.,08 Nov 2012,Stock  Split From Rs.10/- to Rs.2/-,09 Nov 2012,-,-,02 Nov 2012,07 Nov 2012,-
501425,BBTC,BOMBAY BURMAH TRADING CORP.LTD.,25 Jul 2013,Dividend - Rs. - 3.0000,-,27 Jul 2013,07 Aug 2013,22 Jul 2013,25 Jul 2013,-
501425,BBTC,BOMBAY BURMAH TRADING CORP.LTD.,31 Jul 2014,Dividend - Rs. - 1.0000,-,02 Aug 2014,13 Aug 2014,25 Jul 2014,31 Jul 2014,-
501425,BBTC,BOMBAY BURMAH TRADING CORP.LTD.,28 Jul 2015,Dividend - Rs. - 1.0000,-,30 Jul 2015,05 Aug 2015,23 Jul 2015,29 Jul 2015,-
501425,BBTC,BOMBAY BURMAH TRADING CORP.LTD.,28 Jul 2016,Dividend - Rs. - 1.0000,-,30 Jul 2016,05 Aug 2016,25 Jul 2016,28 Jul 2016,-
501425,BBTC,BOMBAY BURMAH TRADING CORP.LTD.,20 Jul 2017,Dividend - Rs. - 1.0000,-,22 Jul 2017,03 Aug 2017,17 Jul 2017,20 Jul 2017,-
501425,BBTC,BOMBAY BURMAH TRADING CORP.LTD.,26 Jul 2018,Dividend - Rs. - 1.0000,-,28 Jul 2018,08 Aug 2018,23 Jul 2018,26 Jul 2018,-
501425,BBTC,BOMBAY BURMAH TRADING CORP.LTD.,01 Aug 2019,Dividend - Rs. - 1.0000,-,03 Aug 2019,12 Aug 2019,29 Jul 2019,01 Aug 2019,-
501425,BBTC,BOMBAY BURMAH TRADING CORP.LTD.,16 Jul 2020,Dividend - Rs. - 1.2000,-,18 Jul 2020,24 Jul 2020,13 Jul 2020,16 Jul 2020,-
