Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
532181,GMDCLTD,GUJARAT MINERAL DEVELOPMENT CORPORATION LTD.,14 Sep 2007,Dividend - Rs. - 10.0000,-,18 Sep 2007,29 Sep 2007,11 Sep 2007,17 Sep 2007,-
532181,GMDCLTD,GUJARAT MINERAL DEVELOPMENT CORPORATION LTD.,08 Nov 2007,-,16 Nov 2007,-,-,08 Nov 2007,15 Nov 2007,-
532181,GMDCLTD,GUJARAT MINERAL DEVELOPMENT CORPORATION LTD.,01 Sep 2008,Dividend - Rs. - 2.0000,-,03 Sep 2008,11 Sep 2008,27 Aug 2008,01 Sep 2008,-
532181,GMDCLTD,GUJARAT MINERAL DEVELOPMENT CORPORATION LTD.,16 Oct 2008,Bonus issue 1:1,17 Oct 2008,-,-,10 Oct 2008,16 Oct 2008,-
532181,GMDCLTD,GUJARAT MINERAL DEVELOPMENT CORPORATION LTD.,17 Sep 2009,Dividend - Rs. - 2.0000,-,21 Sep 2009,29 Sep 2009,14 Sep 2009,17 Sep 2009,-
532181,GMDCLTD,GUJARAT MINERAL DEVELOPMENT CORPORATION LTD.,17 Sep 2010,Dividend - Rs. - 2.5000,-,21 Sep 2010,28 Sep 2010,14 Sep 2010,20 Sep 2010,-
532181,GMDCLTD,GUJARAT MINERAL DEVELOPMENT CORPORATION LTD.,19 Sep 2011,Dividend - Rs. - 3.0000,-,21 Sep 2011,30 Sep 2011,14 Sep 2011,20 Sep 2011,-
532181,GMDCLTD,GUJARAT MINERAL DEVELOPMENT CORPORATION LTD.,17 Sep 2012,Dividend - Rs. - 3.0000,-,19 Sep 2012,28 Sep 2012,12 Sep 2012,17 Sep 2012,-
532181,GMDCLTD,GUJARAT MINERAL DEVELOPMENT CORPORATION LTD.,16 Sep 2013,Dividend - Rs. - 3.0000,-,18 Sep 2013,27 Sep 2013,11 Sep 2013,17 Sep 2013,-
532181,GMDCLTD,GUJARAT MINERAL DEVELOPMENT CORPORATION LTD.,18 Sep 2014,Dividend - Rs. - 3.0000,-,20 Sep 2014,22 Sep 2014,15 Sep 2014,18 Sep 2014,-
532181,GMDCLTD,GUJARAT MINERAL DEVELOPMENT CORPORATION LTD.,23 Sep 2015,Dividend - Rs. - 3.0000,-,26 Sep 2015,29 Sep 2015,18 Sep 2015,23 Sep 2015,-
532181,GMDCLTD,GUJARAT MINERAL DEVELOPMENT CORPORATION LTD.,21 Sep 2016,Dividend - Rs. - 3.0000,-,23 Sep 2016,29 Sep 2016,16 Sep 2016,22 Sep 2016,-
532181,GMDCLTD,GUJARAT MINERAL DEVELOPMENT CORPORATION LTD.,20 Sep 2017,Dividend - Rs. - 3.0000,-,22 Sep 2017,29 Sep 2017,15 Sep 2017,21 Sep 2017,-
532181,GMDCLTD,GUJARAT MINERAL DEVELOPMENT CORPORATION LTD.,19 Sep 2018,Dividend - Rs. - 3.5000,-,22 Sep 2018,29 Sep 2018,14 Sep 2018,19 Sep 2018,-
532181,GMDCLTD,GUJARAT MINERAL DEVELOPMENT CORPORATION LTD.,20 Sep 2019,Dividend - Rs. - 2.0000,-,24 Sep 2019,30 Sep 2019,17 Sep 2019,23 Sep 2019,-
532181,GMDCLTD,GUJARAT MINERAL DEVELOPMENT CORPORATION LTD.,22 Dec 2020,Dividend - Rs. - 2.0000,-,24 Dec 2020,31 Dec 2020,17 Dec 2020,23 Dec 2020,-
