Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
532714,KEC,KEC INTERNATIONAL LTD.,11 Feb 2008,Scheme of Arrangement ,18 Feb 2008,-,-,11 Feb 2008,15 Feb 2008,-
532714,KEC,KEC INTERNATIONAL LTD.,18 Jun 2008,Dividend - Rs. - 5.0000,-,20 Jun 2008,27 Jun 2008,13 Jun 2008,19 Jun 2008,-
532714,KEC,KEC INTERNATIONAL LTD.,18 Jun 2009,Dividend - Rs. - 5.0000,-,22 Jun 2009,26 Jun 2009,15 Jun 2009,19 Jun 2009,-
532714,KEC,KEC INTERNATIONAL LTD.,10 Jun 2010,Dividend - Rs. - 6.0000,-,14 Jun 2010,22 Jun 2010,07 Jun 2010,11 Jun 2010,-
532714,KEC,KEC INTERNATIONAL LTD.,30 Dec 2010,Stock  Split From Rs.10/- to Rs.2/-,31 Dec 2010,-,-,24 Dec 2010,30 Dec 2010,-
532714,KEC,KEC INTERNATIONAL LTD.,23 Jun 2011,Dividend - Rs. - 1.2000,-,27 Jun 2011,05 Jul 2011,20 Jun 2011,24 Jun 2011,-
532714,KEC,KEC INTERNATIONAL LTD.,27 Jun 2012,Dividend - Rs. - 1.2000,-,29 Jun 2012,05 Jul 2012,22 Jun 2012,27 Jun 2012,-
532714,KEC,KEC INTERNATIONAL LTD.,07 Aug 2013,Dividend - Rs. - 0.5000,-,10 Aug 2013,21 Aug 2013,02 Aug 2013,07 Aug 2013,-
532714,KEC,KEC INTERNATIONAL LTD.,16 Jul 2014,Dividend - Rs. - 0.6000,-,18 Jul 2014,28 Jul 2014,11 Jul 2014,17 Jul 2014,-
532714,KEC,KEC INTERNATIONAL LTD.,20 Jul 2015,Dividend - Rs. - 0.9000,-,22 Jul 2015,29 Jul 2015,15 Jul 2015,21 Jul 2015,-
532714,KEC,KEC INTERNATIONAL LTD.,22 Mar 2016,Interim Dividend - Rs. - 1.0000,24 Mar 2016,-,-,17 Mar 2016,22 Mar 2016,-
532714,KEC,KEC INTERNATIONAL LTD.,18 Jul 2017,Dividend - Rs. - 1.6000,-,20 Jul 2017,26 Jul 2017,13 Jul 2017,19 Jul 2017,-
532714,KEC,KEC INTERNATIONAL LTD.,20 Jul 2018,Dividend - Rs. - 2.4000,-,24 Jul 2018,30 Jul 2018,17 Jul 2018,23 Jul 2018,-
532714,KEC,KEC INTERNATIONAL LTD.,15 Jul 2019,Final Dividend - Rs. - 2.7000,-,17 Jul 2019,23 Jul 2019,10 Jul 2019,16 Jul 2019,-
532714,KEC,KEC INTERNATIONAL LTD.,13 Feb 2020,Interim Dividend - Rs. - 3.4000,15 Feb 2020,-,-,10 Feb 2020,13 Feb 2020,-
