security code,security name,revenue,income,expenditure,profit,eps,year,quartile
500314,ORIENTHOT,458.23,468.83,-345.37,80.45,4.50,2007,3
500314,ORIENTHOT,577.23,584.79,-386.27,128.87,7.22,2007,4
500314,ORIENTHOT,681.30,693.90,-452.10,157.50,8.82,2008,1
500314,ORIENTHOT,528.04,538.59,-380.34,103.35,5.79,2008,2
500314,ORIENTHOT,510.11,516.81,-389.83,81.42,4.56,2008,3
500314,ORIENTHOT,578.88,578.71,-403.66,109.79,6.15,2008,4
500314,ORIENTHOT,534.42,532.97,-402.05,78.68,4.41,2009,1
500314,ORIENTHOT,369.44,368.80,-3.26,5.89,0.33,2009,2
500314,ORIENTHOT,418.69,415.69,-9.40,17.28,0.97,2009,3
500314,ORIENTHOT,529.41,528.44,-405.02,82.60,4.62,2009,4
500314,ORIENTHOT,482.67,482.08,-439.66,16.84,0.94,2010,2
500314,ORIENTHOT,509.26,507.82,-9.90,19.71,1.10,2010,3
500314,ORIENTHOT,649.86,649.77,-509.05,66.33,0.37,2010,4
500314,ORIENTHOT,549.80,549.50,-489.90,32.60,0.18,2011,2
500314,ORIENTHOT,567.20,562.80,-506.40,-32.30,-0.18,2011,3
500314,ORIENTHOT,710.30,701.30,-9.90,20.10,0.11,2011,4
500314,ORIENTHOT,827.20,817.30,-158.70,48.50,0.27,2012,1
500314,ORIENTHOT,631.70,627.40,-163.80,-40.80,-0.23,2012,2
500314,ORIENTHOT,634.70,633.70,-161.10,4.50,0.03,2012,3
500314,ORIENTHOT,778.80,776.70,-158.80,32.50,0.18,2012,4
500314,ORIENTHOT,876.70,862.50,-187.90,146.80,0.82,2013,1
500314,ORIENTHOT,657.60,654.00,-191.50,-54.00,-0.30,2013,2
500314,ORIENTHOT,666.10,663.40,-190.70,-60.70,-0.34,2013,3
500314,ORIENTHOT,827.40,823.60,-190.50,11.90,0.07,2013,4
500314,ORIENTHOT,840.30,835.60,-174.10,30.90,0.17,2014,1
500314,ORIENTHOT,672.60,667.70,-202.40,-49.20,-0.28,2014,2
500314,ORIENTHOT,677.90,677.20,-185.90,-47.40,-0.26,2014,3
500314,ORIENTHOT,822.70,820.70,-193.50,13.30,0.07,2014,4
500314,ORIENTHOT,847.30,834.90,-208.90,53.40,0.30,2015,1
500314,ORIENTHOT,683.70,678.60,-221.20,-59.10,-0.33,2015,2
500314,ORIENTHOT,729.30,728.20,-218.40,-57.80,-0.32,2015,3
500314,ORIENTHOT,789.70,788.40,-203.80,-6.90,0.00,2015,4
500314,ORIENTHOT,887.70,880.60,-219.60,36.90,0.21,2016,1
500314,ORIENTHOT,702.20,700.70,-227.60,-76.50,-0.45,2016,2
500314,ORIENTHOT,804.10,775.90,-221.20,-14.20,-0.08,2016,3
500314,ORIENTHOT,906.70,102.20,-804.50,37.50,,2016,4
500314,ORIENTHOT,928.90,974.40,-68.40,68.50,0.38,2017,1
500314,ORIENTHOT,783.50,793.90,-391.40,-52.60,-0.29,2017,2
500314,ORIENTHOT,873.50,928.80,-401.60,31.40,0.18,2017,3
500314,ORIENTHOT,925.00,941.60,-416.70,23.70,0.13,2017,4
500314,ORIENTHOT,982.10,1024.50,-417.00,57.50,0.32,2018,1
500314,ORIENTHOT,812.00,819.30,-397.40,-35.80,-0.20,2018,2
500314,ORIENTHOT,818.20,851.70,-406.40,786.90,4.41,2018,3
500314,ORIENTHOT,898.10,935.60,-391.10,148.50,0.83,2018,4
500314,ORIENTHOT,925.90,960.60,-407.50,-5.20,-0.03,2019,1
500314,ORIENTHOT,661.00,684.40,-322.90,-57.30,-0.32,2019,2
500314,ORIENTHOT,686.80,756.10,-344.10,-25.30,-0.14,2019,3
500314,ORIENTHOT,837.70,850.90,-354.00,46.50,0.26,2019,4
500314,ORIENTHOT,711.20,722.00,-333.60,-1.80,-0.01,2020,1
500314,ORIENTHOT,43.00,75.50,-97.60,-234.00,-1.31,2020,2
500314,ORIENTHOT,157.50,179.30,-129.20,-177.10,-0.99,2020,3
500314,ORIENTHOT,429.80,435.30,-206.60,-76.30,-0.43,2020,4
